entity_url,card_slug,suit,indexed,last_checked,gsc_status,canonical_correct,sitemap_present,manually_requested,notes
https://www.tidesofknowing.com/repeating-card-meanings/the-world/,the-world,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/three-of-cups/,three-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/three-of-pentacles/,three-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/three-of-swords/,three-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/three-of-wands/,three-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/two-of-cups/,two-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/two-of-pentacles/,two-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/two-of-swords/,two-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/two-of-wands/,two-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/wheel-of-fortune/,wheel-of-fortune,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
